,Player,Team,RAA
143,AS Roy,Kolkata Knight Riders,-55
144,Abdul Samad,Sunrisers Hyderabad,-56
145,MJ Santner,Chennai Super Kings,-56
146,B Indrajith,Kolkata Knight Riders,-57
147,AR Patel,Delhi Capitals,-57
148,PJ Cummins,Kolkata Knight Riders,-59
149,Mandeep Singh,Delhi Capitals,-60
150,MK Lomror,Royal Challengers Bangalore,-61
151,SS Prabhudessai,Royal Challengers Bangalore,-62
152,D Padikkal,Rajasthan Royals,-64
153,M Shahrukh Khan,Punjab Kings,-64
154,MK Pandey,Lucknow Super Giants,-67
155,TA Boult,Rajasthan Royals,-71
156,B Kumar,Sunrisers Hyderabad,-75
157,MS Wade,Gujarat Titans,-76
158,DJ Willey,Royal Challengers Bangalore,-80
159,HR Shokeen,Mumbai Indians,-80
160,SP Jackson,Kolkata Knight Riders,-80
161,KA Pollard,Mumbai Indians,-81
162,Arshdeep Singh,Punjab Kings,-84
163,Kartik Tyagi,Sunrisers Hyderabad,-92
164,Harpreet Brar,Punjab Kings,-93
165,RG Sharma,Mumbai Indians,-94
166,Sandeep Sharma,Punjab Kings,-94
167,CJ Jordan,Chennai Super Kings,-95
168,Akash Deep,Royal Challengers Bangalore,-96
169,M Jansen,Sunrisers Hyderabad,-97
170,AS Joseph,Gujarat Titans,-98
171,V Shankar,Gujarat Titans,-98
172,D Pretorius,Chennai Super Kings,-102
173,Ravi Bishnoi,Lucknow Super Giants,-104
174,R Parag,Rajasthan Royals,-107
175,JO Holder,Lucknow Super Giants,-109
176,MA Agarwal,Punjab Kings,-114
177,SN Thakur,Delhi Capitals,-116
178,VG Arora,Punjab Kings,-130
179,Washington Sundar,Sunrisers Hyderabad,-135
180,Shivam Mavi,Kolkata Knight Riders,-136
181,R Ashwin,Rajasthan Royals,-139
182,LH Ferguson,Gujarat Titans,-147
183,VR Iyer,Kolkata Knight Riders,-148
184,DR Sams,Mumbai Indians,-150
185,RA Jadeja,Chennai Super Kings,-153
186,CV Varun,Kolkata Knight Riders,-154
187,PVD Chameera,Lucknow Super Giants,-168
188,SP Narine,Kolkata Knight Riders,-182
189,Shahbaz Ahmed,Royal Challengers Bangalore,-185
190,Mohammed Siraj,Royal Challengers Bangalore,-275
